time (s)	det(V)
4361.481590	0.371453	
4361.485590	0.401363	
4361.487590	0.429957	
4361.489590	0.446640	
4361.491590	0.465888	
4361.493589	0.481754	
4361.497589	0.505073	
4361.499589	0.540953	
4361.501589	0.564079	
4361.503590	0.580532	
4361.505590	0.598625	
4361.507591	0.621590	
4361.509589	0.639685	
4361.511591	0.662413	
4361.513590	0.685714	
4361.517589	0.705945	
4361.519590	0.746538	
4361.521590	0.763040	
4361.523590	0.785041	
4361.525590	0.804091	
4361.527589	0.826035	
4361.529589	0.849741	
4361.531590	0.868667	
4361.533591	0.887729	
4361.535588	0.907797	
4361.539589	0.919711	
4361.543590	0.953490	
4361.545589	0.987531	
4361.547590	1.003608	
4361.549589	1.014932	
4361.551589	1.029782	
4361.555589	1.037843	
4361.557589	1.054191	
4361.559590	1.059353	
4361.563590	1.069470	
4361.565589	1.081885	
4361.567589	1.087120	
4361.569589	1.086333	
4361.571590	1.082263	
4361.573589	1.082092	
4361.577590	1.076712	
4361.581590	1.068981	
4361.583589	1.054890	
4361.585590	1.044466	
4361.587589	1.027942	
4361.589590	1.014479	
4361.593589	1.000085	
4361.595590	0.964056	
4361.597590	0.946298	
4361.599590	0.924637	
4361.601590	0.906031	
4361.603590	0.878377	
4361.605590	0.853938	
4361.607589	0.829627	
4361.609590	0.800009	
4361.613588	0.776644	
4361.615590	0.722069	
4361.617590	0.695379	
4361.619589	0.664298	
4361.621590	0.631912	
4361.623589	0.603590	
4361.625590	0.572450	
4361.627590	0.543888	
4361.629589	0.514824	
4361.633588	0.481584	
4361.635589	0.420163	
4361.639590	0.388525	
4361.641593	0.324260	
4361.643590	0.291793	
4361.645590	0.264148	
4361.647590	0.233367	
4361.651589	0.199879	
4361.653590	0.133529	
4361.655590	0.100309	
4361.657590	0.071985	
4361.659590	0.038720	
4361.661590	0.011273	
4361.663589	-0.018368	
4361.665590	-0.049751	
4361.667590	-0.076517	
4361.669589	-0.109130	
4361.671589	-0.143457	
4361.673592	-0.173442	
4361.677589	-0.205790	
4361.679590	-0.260662	
4361.681590	-0.288324	
4361.683590	-0.315889	
4361.685590	-0.345969	
4361.687591	-0.380607	
4361.691589	-0.410706	
4361.693590	-0.465412	
4361.695590	-0.490030	
4361.699590	-0.519600	
4361.701590	-0.575634	
4361.703589	-0.607823	
4361.705590	-0.638536	
4361.707589	-0.666822	
4361.711588	-0.697807	
4361.713590	-0.750166	
4361.717590	-0.780217	
4361.719590	-0.831135	
4361.721590	-0.860773	
4361.723589	-0.885296	
4361.725589	-0.912318	
4361.729589	-0.934806	
4361.731588	-0.978307	
4361.733590	-0.996924	
4361.737591	-1.018250	
4361.739589	-1.053841	
4361.741589	-1.068795	
4361.743590	-1.084366	
4361.745589	-1.093198	
4361.749589	-1.102467	
4361.751590	-1.117836	
4361.753589	-1.127842	
4361.755590	-1.132662	
4361.757590	-1.133132	
4361.759590	-1.133034	
4361.761590	-1.127940	
4361.763590	-1.121383	
4361.765590	-1.117287	
4361.767590	-1.106225	
4361.769589	-1.101341	
4361.773590	-1.094278	
4361.775590	-1.068018	
4361.777590	-1.050430	
4361.779590	-1.031215	
4361.781595	-1.013468	
4361.783591	-0.994330	
4361.785592	-0.974765	
4361.787590	-0.956410	
4361.791589	-0.939133	
